city,year,population
Población de Hecho: Alfauir,1970,397
Población de Hecho: Alfauir,1960,434
Población de Hecho: Alfauir,1950,440
Población de Hecho: Alfauir,1940,455
Población de Hecho: Alfauir,1930,373
Población de Hecho: Alfauir,1920,439
Población de Hecho: Alfauir,1910,486
Población de Hecho: Alfauir,1900,385
Población de Hecho: Algar de Palancia,1991,399
Población de Hecho: Algar de Palancia,1981,438
Población de Hecho: Algar de Palancia,1970,494
Población de Hecho: Algar de Palancia,1960,551
Población de Hecho: Algar de Palancia,1950,628
Población de Hecho: Algar de Palancia,1940,607
Población de Hecho: Algar de Palancia,1930,606
Población de Hecho: Algar de Palancia,1920,603
Población de Hecho: Algar de Palancia,1910,732
Población de Hecho: Algar de Palancia,1900,765
Población de Hecho: Algemesí,1991,25044
Población de Hecho: Algemesí,1981,24552
Población de Hecho: Algemesí,1970,22123
Población de Hecho: Algemesí,1960,19057
Población de Hecho: Algemesí,1950,17849
Población de Hecho: Algemesí,1940,17373
Población de Hecho: Algemesí,1930,14744
Población de Hecho: Algemesí,1920,11590
Población de Hecho: Algemesí,1910,10877
Población de Hecho: Algemesí,1900,8127
Población de Hecho: Algimia de Alfara,1991,867
Población de Hecho: Algimia de Alfara,1981,910
Población de Hecho: Algimia de Alfara,1970,898
Población de Hecho: Algimia de Alfara,1960,867
Población de Hecho: Algimia de Alfara,1950,942
Población de Hecho: Algimia de Alfara,1940,948
Población de Hecho: Algimia de Alfara,1930,1009
Población de Hecho: Algimia de Alfara,1920,941
Población de Hecho: Algimia de Alfara,1910,998
Población de Hecho: Algimia de Alfara,1900,957
Población de Hecho: Alginet,1991,11635
Población de Hecho: Alginet,1981,11425
Población de Hecho: Alginet,1970,10040
Población de Hecho: Alginet,1960,8421
Población de Hecho: Alginet,1950,7359
Población de Hecho: Alginet,1940,7339
Población de Hecho: Alginet,1930,6147
Población de Hecho: Alginet,1920,6138
Población de Hecho: Alginet,1910,6152
Población de Hecho: Alginet,1900,5020
Población de Hecho: Almàssera,1991,5396
Población de Hecho: Almàssera,1981,5482
Población de Hecho: Almàssera,1970,4713
Población de Hecho: Almàssera,1960,2965
Población de Hecho: Almàssera,1950,2729
Población de Hecho: Almàssera,1940,2625
Población de Hecho: Almàssera,1930,2335
Población de Hecho: Almàssera,1920,2261
Población de Hecho: Almàssera,1910,1956
Población de Hecho: Almàssera,1900,1675
Población de Hecho: Almiserat,1991,197
Población de Hecho: Almiserat,1981,225
Población de Hecho: Almiserat,1970,295
Población de Hecho: Almiserat,1960,307
Población de Hecho: Almiserat,1950,295
Población de Hecho: Almiserat,1940,296
Población de Hecho: Almiserat,1930,349
Población de Hecho: Almiserat,1920,309
Población de Hecho: Almiserat,1910,307
Población de Hecho: Almiserat,1900,329
Población de Hecho: Almoines,1991,1769
Población de Hecho: Almoines,1981,1897
Población de Hecho: Almoines,1970,1982
Población de Hecho: Almoines,1960,1707
Población de Hecho: Almoines,1950,1646
Población de Hecho: Almoines,1940,1604
Población de Hecho: Almoines,1930,1362
Población de Hecho: Almoines,1920,1257
Población de Hecho: Almoines,1910,961
Población de Hecho: Almoines,1900,960
Población de Hecho: Almussafes,1991,6335
Población de Hecho: Almussafes,1981,5017
Población de Hecho: Almussafes,1970,3720
Población de Hecho: Almussafes,1960,3448
Población de Hecho: Almussafes,1950,3359
Población de Hecho: Almussafes,1940,3162
Población de Hecho: Almussafes,1930,2841
Población de Hecho: Almussafes,1920,2822
Población de Hecho: Almussafes,1910,2602
Población de Hecho: Almussafes,1900,2267
Población de Hecho: Alpuente,1991,1155
Población de Hecho: Alpuente,1981,1440
Población de Hecho: Alpuente,1970,1869
Población de Hecho: Alpuente,1960,2144
Población de Hecho: Alpuente,1950,2420
Población de Hecho: Alpuente,1940,2543
Población de Hecho: Alpuente,1930,2493
Población de Hecho: Alpuente,1920,2745
Población de Hecho: Alpuente,1910,3154
Población de Hecho: Alpuente,1900,3070
Población de Hecho: Alquería de la Condesa/Alquería de la Comtessa (L'),1991,1547
