Municipios	Periodo	Total
03059 Crevillent	1981	20.841
03059 Crevillent	1970	16.901
03059 Crevillent	1960	14.047
03059 Crevillent	1950	12.636
03059 Crevillent	1940	11.403
03059 Crevillent	1930	11.991
03059 Crevillent	1920	11.216
03059 Crevillent	1910	10.452
03059 Crevillent	1900	10.726
03061 Daya Nueva	1991	1.189
03061 Daya Nueva	1981	1.170
03061 Daya Nueva	1970	1.136
03061 Daya Nueva	1960	1.241
03061 Daya Nueva	1950	1.301
03061 Daya Nueva	1940	1.159
03061 Daya Nueva	1930	1.073
03061 Daya Nueva	1920	918
03061 Daya Nueva	1910	653
03061 Daya Nueva	1900	698
03062 Daya Vieja	1991	165
03062 Daya Vieja	1981	232
03062 Daya Vieja	1970	290
03062 Daya Vieja	1960	333
03062 Daya Vieja	1950	310
03062 Daya Vieja	1940	243
03062 Daya Vieja	1930	344
03062 Daya Vieja	1920	359
03062 Daya Vieja	1910	285
03062 Daya Vieja	1900	212
03063 Dénia	1991	25.157
03063 Dénia	1981	22.162
03063 Dénia	1970	16.484
03063 Dénia	1960	12.185
03063 Dénia	1950	11.859
03063 Dénia	1940	12.323
03063 Dénia	1930	13.063
03063 Dénia	1920	12.612
03063 Dénia	1910	12.161
03063 Dénia	1900	12.431
03064 Dolores	1991	5.770
03064 Dolores	1981	5.982
03064 Dolores	1970	5.420
03064 Dolores	1960	5.847
03064 Dolores	1950	5.395
03064 Dolores	1940	5.164
03064 Dolores	1930	3.541
03064 Dolores	1920	3.203
03064 Dolores	1910	2.925
03064 Dolores	1900	2.241
03065 Elche/Elx	1991	187.596
03065 Elche/Elx	1981	162.873
03065 Elche/Elx	1970	122.663
03065 Elche/Elx	1960	73.320
03065 Elche/Elx	1950	55.877
03065 Elche/Elx	1940	46.596
03065 Elche/Elx	1930	38.013
03065 Elche/Elx	1920	33.167
03065 Elche/Elx	1910	30.511
03065 Elche/Elx	1900	27.308
03066 Elda	1991	54.010
03066 Elda	1981	52.185
03066 Elda	1970	41.511
03066 Elda	1960	28.151
03066 Elda	1950	20.699
03066 Elda	1940	20.050
03066 Elda	1930	13.445
03066 Elda	1920	8.078
03066 Elda	1910	8.028
03066 Elda	1900	6.131
03067 Fageca	1991	139
03067 Fageca	1981	178
03067 Fageca	1970	232
03067 Fageca	1960	227
03067 Fageca	1950	251
03067 Fageca	1940	257
03067 Fageca	1930	263
03067 Fageca	1920	270
03067 Fageca	1910	284
03067 Fageca	1900	294
03068 Famorca	1991	71
03068 Famorca	1981	126
03068 Famorca	1970	170
03068 Famorca	1960	186
03068 Famorca	1950	186
03068 Famorca	1940	222
03068 Famorca	1930	225
03068 Famorca	1920	244
03068 Famorca	1910	235
03068 Famorca	1900	266
03069 Finestrat	1991	1.314
03069 Finestrat	1981	974
03069 Finestrat	1970	1.138
03069 Finestrat	1960	1.178
03069 Finestrat	1950	1.289
03069 Finestrat	1940	1.488
03069 Finestrat	1930	1.426
03069 Finestrat	1920	1.836
03069 Finestrat	1910	2.135
03069 Finestrat	1900	2.354
03070 Formentera del Segura	1991	2.007
03070 Formentera del Segura	1981	1.862
03070 Formentera del Segura	1970	1.888
03070 Formentera del Segura	1960	1.996
03070 Formentera del Segura	1950	1.960
03070 Formentera del Segura	1940	1.756
03070 Formentera del Segura	1930	1.510
03070 Formentera del Segura	1920	1.314
03070 Formentera del Segura	1910	1.142
03070 Formentera del Segura	1900	950
03072 Gaianes	1991	317
03072 Gaianes	1981	355
03072 Gaianes	1970	442
03072 Gaianes	1960	494
03072 Gaianes	1950	570
03072 Gaianes	1940	557
03072 Gaianes	1930	588
03072 Gaianes	1920	571
03072 Gaianes	1910	644
03072 Gaianes	1900	643
03071 Gata de Gorgos	1991	4.831
03071 Gata de Gorgos	1981	5.077
03071 Gata de Gorgos	1970	4.903
03071 Gata de Gorgos	1960	4.437
03071 Gata de Gorgos	1950	4.323
03071 Gata de Gorgos	1940	4.227
03071 Gata de Gorgos	1930	4.228
03071 Gata de Gorgos	1920	3.732
03071 Gata de Gorgos	1910	3.780
03071 Gata de Gorgos	1900	3.967
03073 Gorga	1991	291
03073 Gorga	1981	320
03073 Gorga	1970	354
03073 Gorga	1960	445
03073 Gorga	1950	488
03073 Gorga	1940	522
03073 Gorga	1930	533
03073 Gorga	1920	501
03073 Gorga	1910	531
03073 Gorga	1900	627
03074 Granja de Rocamora	1991	1.816
03074 Granja de Rocamora	1981	1.774
03074 Granja de Rocamora	1970	1.533
03074 Granja de Rocamora	1960	1.816
03074 Granja de Rocamora	1950	1.643
03074 Granja de Rocamora	1940	1.395
