Municipios	Periodo	Total
12040 Castelló de la Plana	1970	93.968
12040 Castelló de la Plana	1960	62.493
12040 Castelló de la Plana	1950	53.331
12040 Castelló de la Plana	1940	46.876
12040 Castelló de la Plana	1930	36.781
12040 Castelló de la Plana	1920	34.457
12040 Castelló de la Plana	1910	32.309
12040 Castelló de la Plana	1900	29.904
12041 Castillo de Villamalefa	1991	127
12041 Castillo de Villamalefa	1981	225
12041 Castillo de Villamalefa	1970	464
12041 Castillo de Villamalefa	1960	734
12041 Castillo de Villamalefa	1950	996
12041 Castillo de Villamalefa	1940	1.093
12041 Castillo de Villamalefa	1930	1.103
12041 Castillo de Villamalefa	1920	1.309
12041 Castillo de Villamalefa	1910	1.455
12041 Castillo de Villamalefa	1900	1.339
12042 Catí	1991	879
12042 Catí	1981	1.006
12042 Catí	1970	1.102
12042 Catí	1960	1.326
12042 Catí	1950	1.588
12042 Catí	1940	1.739
12042 Catí	1930	1.775
12042 Catí	1920	2.022
12042 Catí	1910	2.440
12042 Catí	1900	2.322
12043 Caudiel	1991	666
12043 Caudiel	1981	618
12043 Caudiel	1970	930
12043 Caudiel	1960	1.103
12043 Caudiel	1950	1.311
12043 Caudiel	1940	1.286
12043 Caudiel	1930	1.417
12043 Caudiel	1920	1.588
12043 Caudiel	1910	1.849
12043 Caudiel	1900	1.768
12044 Cervera del Maestre	1991	779
12044 Cervera del Maestre	1981	914
12044 Cervera del Maestre	1970	1.089
12044 Cervera del Maestre	1960	1.316
12044 Cervera del Maestre	1950	1.734
12044 Cervera del Maestre	1940	1.887
12044 Cervera del Maestre	1930	2.045
12044 Cervera del Maestre	1920	2.386
12044 Cervera del Maestre	1910	2.489
12044 Cervera del Maestre	1900	2.523
12052 Xert	1991	982
12052 Xert	1981	1.235
12052 Xert	1970	1.480
12052 Xert	1960	1.665
12052 Xert	1950	2.033
12052 Xert	1940	2.276
12052 Xert	1930	2.341
12052 Xert	1920	2.583
12052 Xert	1910	2.765
12052 Xert	1900	2.648
12053 Chilches/Xilxes	1991	2.086
12053 Chilches/Xilxes	1981	2.053
12053 Chilches/Xilxes	1970	1.976
12053 Chilches/Xilxes	1960	1.686
12053 Chilches/Xilxes	1950	1.633
12053 Chilches/Xilxes	1940	1.180
12053 Chilches/Xilxes	1930	1.323
12053 Chilches/Xilxes	1920	1.103
12053 Chilches/Xilxes	1910	1.161
12053 Chilches/Xilxes	1900	870
12055 Chodos/Xodos	1991	155
12055 Chodos/Xodos	1981	181
12055 Chodos/Xodos	1970	377
12055 Chodos/Xodos	1960	583
12055 Chodos/Xodos	1950	770
12055 Chodos/Xodos	1940	835
12055 Chodos/Xodos	1930	913
12055 Chodos/Xodos	1920	1.011
12055 Chodos/Xodos	1910	954
12055 Chodos/Xodos	1900	920
12056 Chóvar	1991	407
12056 Chóvar	1981	421
12056 Chóvar	1970	455
12056 Chóvar	1960	480
12056 Chóvar	1950	504
12056 Chóvar	1940	581
12056 Chóvar	1930	651
12056 Chóvar	1920	687
12056 Chóvar	1910	779
12056 Chóvar	1900	768
12045 Cinctorres	1991	602
12045 Cinctorres	1981	698
12045 Cinctorres	1970	868
12045 Cinctorres	1960	1.167
12045 Cinctorres	1950	1.350
12045 Cinctorres	1940	1.346
12045 Cinctorres	1930	1.478
12045 Cinctorres	1920	1.566
12045 Cinctorres	1910	1.534
12045 Cinctorres	1900	1.537
12046 Cirat	1991	315
12046 Cirat	1981	395
12046 Cirat	1970	525
12046 Cirat	1960	1.958
12046 Cirat	1950	1.147
12046 Cirat	1940	1.284
12046 Cirat	1930	1.303
12046 Cirat	1920	1.504
12046 Cirat	1910	1.643
12046 Cirat	1900	1.543
12048 Cortes de Arenoso	1991	409
12048 Cortes de Arenoso	1981	464
12048 Cortes de Arenoso	1970	689
12048 Cortes de Arenoso	1960	1.081
12048 Cortes de Arenoso	1950	1.230
12048 Cortes de Arenoso	1940	1.364
12048 Cortes de Arenoso	1930	1.374
12048 Cortes de Arenoso	1920	1.526
12048 Cortes de Arenoso	1910	1.599
12048 Cortes de Arenoso	1900	1.439
12049 Costur	1991	482
12049 Costur	1981	493
12049 Costur	1970	555
12049 Costur	1960	672
12049 Costur	1950	742
12049 Costur	1940	790
12049 Costur	1930	816
12049 Costur	1920	912
12049 Costur	1910	987
12049 Costur	1900	996
12050 Coves de Vinromà, les	1991	1.915
12050 Coves de Vinromà, les	1981	2.208
12050 Coves de Vinromà, les	1970	2.397
12050 Coves de Vinromà, les	1960	2.603
12050 Coves de Vinromà, les	1950	3.030
12050 Coves de Vinromà, les	1940	3.286
12050 Coves de Vinromà, les	1930	3.592
12050 Coves de Vinromà, les	1920	4.090
12050 Coves de Vinromà, les	1910	4.594
12050 Coves de Vinromà, les	1900	4.411
12051 Culla	1991	863
12051 Culla	1981	1.210
12051 Culla	1970	1.532
12051 Culla	1960	2.002
12051 Culla	1950	2.395
12051 Culla	1940	2.581
12051 Culla	1930	2.654
12051 Culla	1920	2.774
12051 Culla	1910	3.079
12051 Culla	1900	2.807
12057 Eslida	1991	802
12057 Eslida	1981	849
12057 Eslida	1970	875
12057 Eslida	1960	919
12057 Eslida	1950	1.055
12057 Eslida	1940	1.125
12057 Eslida	1930	1.368
12057 Eslida	1920	1.440
12057 Eslida	1910	1.552
12057 Eslida	1900	1.504
12058 Espadilla	1991	79
12058 Espadilla	1981	46
12058 Espadilla	1970	91
12058 Espadilla	1960	134
12058 Espadilla	1950	248
12058 Espadilla	1940	272
12058 Espadilla	1930	280
12058 Espadilla	1920	292
12058 Espadilla	1910	279
12058 Espadilla	1900	296
12059 Fanzara	1991	272
12059 Fanzara	1981	282
12059 Fanzara	1970	364
12059 Fanzara	1960	516
12059 Fanzara	1950	597
12059 Fanzara	1940	533
12059 Fanzara	1930	687
12059 Fanzara	1920	689
12059 Fanzara	1910	687
12059 Fanzara	1900	651
12060 Figueroles	1991	584
12060 Figueroles	1981	595
12060 Figueroles	1970	543
12060 Figueroles	1960	498
12060 Figueroles	1950	527
12060 Figueroles	1940	595
12060 Figueroles	1930	612
12060 Figueroles	1920	633
12060 Figueroles	1910	662
12060 Figueroles	1900	712
12061 Forcall	1991	569
12061 Forcall	1981	705
12061 Forcall	1970	921
12061 Forcall	1960	1.084
12061 Forcall	1950	1.332
12061 Forcall	1940	1.469
12061 Forcall	1930	1.621
12061 Forcall	1920	1.782
12061 Forcall	1910	2.241
12061 Forcall	1900	2.105
12063 Fuente la Reina	1991	32
12063 Fuente la Reina	1981	37
12063 Fuente la Reina	1970	77
12063 Fuente la Reina	1960	167
12063 Fuente la Reina	1950	218
12063 Fuente la Reina	1940	289
12063 Fuente la Reina	1930	370
12063 Fuente la Reina	1920	423
12063 Fuente la Reina	1910	533
12063 Fuente la Reina	1900	462
12064 Fuentes de Ayódar	1991	65
12064 Fuentes de Ayódar	1981	83
12064 Fuentes de Ayódar	1970	99
12064 Fuentes de Ayódar	1960	183
12064 Fuentes de Ayódar	1950	218
12064 Fuentes de Ayódar	1940	238
12064 Fuentes de Ayódar	1930	302
12064 Fuentes de Ayódar	1920	328
12064 Fuentes de Ayódar	1910	326
12064 Fuentes de Ayódar	1900	489
12065 Gaibiel	1991	221
12065 Gaibiel	1981	330
12065 Gaibiel	1970	430
12065 Gaibiel	1960	629
12065 Gaibiel	1950	775
12065 Gaibiel	1940	767
12065 Gaibiel	1930	916
12065 Gaibiel	1920	1.060
12065 Gaibiel	1910	1.102
12065 Gaibiel	1900	1.125
12066 Gatova	1991	468
12066 Gatova	1981	635
12066 Gatova	1970	829
12066 Gatova	1960	972
12066 Gatova	1950	1.213
12066 Gatova	1940	1.210
12066 Gatova	1930	1.308
12066 Gatova	1920	1.286
12066 Gatova	1910	1.323
12066 Gatova	1900	1.265
12067 Geldo	1991	717
12067 Geldo	1981	790
12067 Geldo	1970	743
12067 Geldo	1960	878
12067 Geldo	1950	898
12067 Geldo	1940	883
12067 Geldo	1930	934
12067 Geldo	1920	844
12067 Geldo	1910	861
12067 Geldo	1900	802
12068 Herbers	1991	132
12068 Herbers	1981	168
12068 Herbers	1970	231
12068 Herbers	1960	327
12068 Herbers	1950	""
12068 Herbers	1940	""
12068 Herbers	1930	""
12068 Herbers	1920	546
12068 Herbers	1910	638
12068 Herbers	1900	666
12069 Higueras	1991	33
12069 Higueras	1981	51
12069 Higueras	1970	62
12069 Higueras	1960	129
12069 Higueras	1950	165
12069 Higueras	1940	211
12069 Higueras	1930	246
12069 Higueras	1920	289
12069 Higueras	1910	334
12069 Higueras	1900	366
12070 Jana, la	1991	934
12070 Jana, la	1981	1.044
12070 Jana, la	1970	1.272
12070 Jana, la	1960	1.443
12070 Jana, la	1950	1.737
12070 Jana, la	1940	1.743
12070 Jana, la	1930	2.018
12070 Jana, la	1920	1.992
12070 Jana, la	1910	2.132
12070 Jana, la	1900	2.303
12071 Jérica	1991	1.608
12071 Jérica	1981	1.680
12071 Jérica	1970	2.186
12071 Jérica	1960	2.399
12071 Jérica	1950	2.712
12071 Jérica	1940	2.368
12071 Jérica	1930	2.747
12071 Jérica	1920	2.980
12071 Jérica	1910	3.252
12071 Jérica	1900	3.119
12074 Llosa, la	1991	941
12074 Llosa, la	1981	958
12074 Llosa, la	1970	855
12074 Llosa, la	1960	658
12074 Llosa, la	1950	569
12074 Llosa, la	1940	448
12074 Llosa, la	1930	377
12074 Llosa, la	1920	329
12074 Llosa, la	1910	264
12074 Llosa, la	1900	293
