city,year,population
Benicarló,2009,26655
Benicarló,2008,26381
Benicarló,2007,25248
Benicarló,2006,24427
Benicarló,2005,23552
Benicarló,2004,22653
Benicarló,2003,22063
Benicarló,2002,21488
Benicarló,2001,20644
Benicarló,2000,19908
Benicarló,1999,19540
Benicarló,1998,19350
Benicarló,1996,19229
Benicàssim/Benicasim,2025,20539
Benicàssim/Benicasim,2024,20322
Benicàssim/Benicasim,2023,19951
Benicàssim/Benicasim,2022,19507
Benicàssim/Benicasim,2021,18991
Benicàssim/Benicasim,2020,18364
Benicàssim/Benicasim,2019,18192
Benicàssim/Benicasim,2018,18055
Benicàssim/Benicasim,2017,17964
Benicàssim/Benicasim,2016,17957
Benicàssim/Benicasim,2015,18098
Benicàssim/Benicasim,2014,18233
Benicàssim/Benicasim,2013,18989
Benicàssim/Benicasim,2012,18753
Benicàssim/Benicasim,2011,18524
Benicàssim/Benicasim,2010,18206
Benicàssim/Benicasim,2009,18098
Benicàssim/Benicasim,2008,17870
Benicàssim/Benicasim,2007,17267
Benicàssim/Benicasim,2006,16584
Benicàssim/Benicasim,2005,16200
Benicàssim/Benicasim,2004,15151
Benicàssim/Benicasim,2003,14607
Benicàssim/Benicasim,2002,13901
Benicàssim/Benicasim,2001,12808
Benicàssim/Benicasim,2000,11874
Benicàssim/Benicasim,1999,11288
Benicàssim/Benicasim,1998,10702
Benicàssim/Benicasim,1996,9913
Benlloc,2025,1143
Benlloc,2024,1115
Benlloc,2023,1108
Benlloc,2022,1092
Benlloc,2021,1075
Benlloc,2020,1048
Benlloc,2019,1033
Benlloc,2018,1036
Benlloc,2017,1060
Benlloc,2016,1095
Benlloc,2015,1119
Benlloc,2014,1153
Benlloc,2013,1179
Benlloc,2012,1185
Benlloc,2011,1211
Benlloc,2010,1181
Benlloc,2009,1175
Benlloc,2008,1156
Benlloc,2007,1115
Benlloc,2006,1107
Benlloc,2005,1019
Benlloc,2004,860
Benlloc,2003,883
Benlloc,2002,910
Benlloc,2001,887
Benlloc,2000,842
Benlloc,1999,833
Benlloc,1998,863
Benlloc,1996,876
Betxí,2025,5659
Betxí,2024,5592
Betxí,2023,5580
Betxí,2022,5587
Betxí,2021,5605
Betxí,2020,5618
Betxí,2019,5645
Betxí,2018,5709
Betxí,2017,5750
Betxí,2016,5780
