city,year,population
"Alqueria d'Asnar, l'",1996,407
Altea,2025,24592
Altea,2024,23963
Altea,2023,23820
Altea,2022,23010
Altea,2021,22657
Altea,2020,22558
Altea,2019,22290
Altea,2018,21995
Altea,2017,21813
Altea,2016,21739
Altea,2015,22385
Altea,2014,22518
Altea,2013,24333
Altea,2012,24298
Altea,2011,24056
Altea,2010,24006
Altea,2009,23780
Altea,2008,23532
Altea,2007,22648
Altea,2006,21898
Altea,2005,21154
Altea,2004,19514
Altea,2003,18976
Altea,2002,17608
Altea,2001,16294
Altea,2000,15579
Altea,1999,14711
Altea,1998,13976
Altea,1996,13519
Aspe,2025,22397
Aspe,2024,21969
Aspe,2023,21473
Aspe,2022,21191
Aspe,2021,21088
Aspe,2020,20804
Aspe,2019,20714
Aspe,2018,20537
Aspe,2017,20425
Aspe,2016,20482
Aspe,2015,20406
Aspe,2014,20248
Aspe,2013,20341
Aspe,2012,20309
Aspe,2011,20292
Aspe,2010,20360
Aspe,2009,20180
Aspe,2008,19893
Aspe,2007,19246
Aspe,2006,18821
Aspe,2005,18203
Aspe,2004,17833
Aspe,2003,17423
Aspe,2002,16976
Aspe,2001,16692
Aspe,2000,16593
Aspe,1999,16492
Aspe,1998,16406
Aspe,1996,16391
"Atzúbia, l'",2025,589
"Atzúbia, l'",2024,594
"Atzúbia, l'",2023,608
"Atzúbia, l'",2022,616
"Atzúbia, l'",2021,609
"Atzúbia, l'",2020,611
"Atzúbia, l'",2019,632
"Atzúbia, l'",2018,661
"Atzúbia, l'",2017,664
"Atzúbia, l'",2016,689
"Atzúbia, l'",2015,632
"Atzúbia, l'",2014,627
"Atzúbia, l'",2013,744
"Atzúbia, l'",2012,749
"Atzúbia, l'",2011,730
"Atzúbia, l'",2010,695
"Atzúbia, l'",2009,693
"Atzúbia, l'",2008,686
"Atzúbia, l'",2007,668
"Atzúbia, l'",2006,627
"Atzúbia, l'",2005,611
"Atzúbia, l'",2004,635
"Atzúbia, l'",2003,587
"Atzúbia, l'",2002,605
"Atzúbia, l'",2001,570
"Atzúbia, l'",2000,547
"Atzúbia, l'",1999,558
"Atzúbia, l'",1998,579
"Atzúbia, l'",1996,582
Balones,2025,132
Balones,2024,131
Balones,2023,119
Balones,2022,126
Balones,2021,134
Balones,2020,128
Balones,2019,131
Balones,2018,122
Balones,2017,128
Balones,2016,129
Balones,2015,133
Balones,2014,139
Balones,2013,147
Balones,2012,157
Balones,2011,162
Balones,2010,156
Balones,2009,163
Balones,2008,157
Balones,2007,163
Balones,2006,160
Balones,2005,169
Balones,2004,171
Balones,2003,172
Balones,2002,180
Balones,2001,184
Balones,2000,183
Balones,1999,181
Balones,1998,178
Balones,1996,176
Banyeres de Mariola,2025,7347
Banyeres de Mariola,2024,7307
Banyeres de Mariola,2023,7255
Banyeres de Mariola,2022,7201
Banyeres de Mariola,2021,7113
Banyeres de Mariola,2020,7090
Banyeres de Mariola,2019,7068
Banyeres de Mariola,2018,7113
Banyeres de Mariola,2017,7102
Banyeres de Mariola,2016,7108
Banyeres de Mariola,2015,7155
Banyeres de Mariola,2014,7174
Banyeres de Mariola,2013,7157
Banyeres de Mariola,2012,7222
Banyeres de Mariola,2011,7200
Banyeres de Mariola,2010,7229
Banyeres de Mariola,2009,7240
Banyeres de Mariola,2008,7194
Banyeres de Mariola,2007,7193
Banyeres de Mariola,2006,7237
Banyeres de Mariola,2005,7282
Banyeres de Mariola,2004,7314
Banyeres de Mariola,2003,7321
Banyeres de Mariola,2002,7050
Banyeres de Mariola,2001,6983
Banyeres de Mariola,2000,6906
Banyeres de Mariola,1999,6848
Banyeres de Mariola,1998,6848
Banyeres de Mariola,1996,7056
Benasau,2025,174
Benasau,2024,171
Benasau,2023,173
Benasau,2022,171
Benasau,2021,170
Benasau,2020,156
Benasau,2019,151
Benasau,2018,156
Benasau,2017,157
Benasau,2016,158
Benasau,2015,155
Benasau,2014,158
Benasau,2013,157
Benasau,2012,174
Benasau,2011,178
Benasau,2010,171
Benasau,2009,190
Benasau,2008,198
Benasau,2007,210
Benasau,2006,210
Benasau,2005,222
Benasau,2004,237
Benasau,2003,233
Benasau,2002,196
Benasau,2001,187
Benasau,2000,189
Benasau,1999,195
Benasau,1998,200
Benasau,1996,210
Beneixama,2025,1696
Beneixama,2024,1679
Beneixama,2023,1697
Beneixama,2022,1705
Beneixama,2021,1707
Beneixama,2020,1690
Beneixama,2019,1685
Beneixama,2018,1703
Beneixama,2017,1710
Beneixama,2016,1712
Beneixama,2015,1746
Beneixama,2014,1738
Beneixama,2013,1778
Beneixama,2012,1792
Beneixama,2011,1817
Beneixama,2010,1820
Beneixama,2009,1811
Beneixama,2008,1837
Beneixama,2007,1828
Beneixama,2006,1802
Beneixama,2005,1886
Beneixama,2004,1939
Beneixama,2003,1931
Beneixama,2002,1816
Beneixama,2001,1840
Beneixama,2000,1795
Beneixama,1999,1796
Beneixama,1998,1796
Beneixama,1996,1799
Benejúzar,2025,5811
Benejúzar,2024,5697
Benejúzar,2023,5625
Benejúzar,2022,5480
Benejúzar,2021,5453
Benejúzar,2020,5435
Benejúzar,2019,5402
Benejúzar,2018,5361
Benejúzar,2017,5372
Benejúzar,2016,5364
Benejúzar,2015,5398
Benejúzar,2014,5394
Benejúzar,2013,5453
Benejúzar,2012,5425
Benejúzar,2011,5459
Benejúzar,2010,5474
Benejúzar,2009,5467
Benejúzar,2008,5472
Benejúzar,2007,5419
Benejúzar,2006,5306
Benejúzar,2005,5249
Benejúzar,2004,5216
Benejúzar,2003,5114
Benejúzar,2002,5019
Benejúzar,2001,5007
Benejúzar,2000,4942
Benejúzar,1999,5067
Benejúzar,1998,5067
Benejúzar,1996,5009
Benferri,2025,2099
Benferri,2024,2053
Benferri,2023,2023
Benferri,2022,1955
Benferri,2021,1958
Benferri,2020,1965
Benferri,2019,1942
Benferri,2018,1940
Benferri,2017,1923
Benferri,2016,1920
Benferri,2015,1899
Benferri,2014,1910
Benferri,2013,1927
Benferri,2012,1934
Benferri,2011,1925
Benferri,2010,1892
Benferri,2009,1876
Benferri,2008,1746
Benferri,2007,1601
Benferri,2006,1493
Benferri,2005,1385
Benferri,2004,1351
Benferri,2003,1188
Benferri,2002,1138
Benferri,2001,1098
Benferri,2000,1055
Benferri,1999,1026
Benferri,1998,982
Benferri,1996,1011
Beniarbeig,2025,2499
Beniarbeig,2024,2384
Beniarbeig,2023,2353
Beniarbeig,2022,2267
Beniarbeig,2021,2227
Beniarbeig,2020,2159
Beniarbeig,2019,2092
Beniarbeig,2018,1983
Beniarbeig,2017,1919
Beniarbeig,2016,1917
Beniarbeig,2015,1926
Beniarbeig,2014,1859
Beniarbeig,2013,1915
Beniarbeig,2012,1902
Beniarbeig,2011,1883
Beniarbeig,2010,1888
Beniarbeig,2009,1997
Beniarbeig,2008,1889
Beniarbeig,2007,1729
Beniarbeig,2006,1615
Beniarbeig,2005,1548
Beniarbeig,2004,1455
Beniarbeig,2003,1358
Beniarbeig,2002,1344
Beniarbeig,2001,1254
Beniarbeig,2000,1172
Beniarbeig,1999,1205
Beniarbeig,1998,1205
Beniarbeig,1996,1208
Beniardà,2025,226
Beniardà,2024,235
Beniardà,2023,252
Beniardà,2022,218
Beniardà,2021,192
Beniardà,2020,200
Beniardà,2019,232
Beniardà,2018,178
Beniardà,2017,183
Beniardà,2016,202
Beniardà,2015,227
Beniardà,2014,208
Beniardà,2013,188
Beniardà,2012,248
Beniardà,2011,222
Beniardà,2010,230
Beniardà,2009,238
Beniardà,2008,258
Beniardà,2007,220
Beniardà,2006,208
Beniardà,2005,235
Beniardà,2004,199
Beniardà,2003,215
Beniardà,2002,193
Beniardà,2001,200
