Municipios	Periodo	Total
46040 Antella	1991	1.589
46040 Antella	1981	1.632
46040 Antella	1970	1.797
46040 Antella	1960	2.175
46040 Antella	1950	1.864
46040 Antella	1940	1.898
46040 Antella	1930	1.809
46040 Antella	1920	1.724
46040 Antella	1910	1.543
46040 Antella	1900	1.421
46041 Aras de los Olmos	1991	407
46041 Aras de los Olmos	1981	536
46041 Aras de los Olmos	1970	752
46041 Aras de los Olmos	1960	1.163
46041 Aras de los Olmos	1950	1.363
46041 Aras de los Olmos	1940	1.377
46041 Aras de los Olmos	1930	1.231
46041 Aras de los Olmos	1920	1.291
46041 Aras de los Olmos	1910	1.337
46041 Aras de los Olmos	1900	1.257
46003 Atzeneta d'Albaida	1991	1.231
46003 Atzeneta d'Albaida	1981	1.355
46003 Atzeneta d'Albaida	1970	1.164
46003 Atzeneta d'Albaida	1960	1.157
46003 Atzeneta d'Albaida	1950	1.209
46003 Atzeneta d'Albaida	1940	1.219
46003 Atzeneta d'Albaida	1930	1.257
46003 Atzeneta d'Albaida	1920	998
46003 Atzeneta d'Albaida	1910	990
46003 Atzeneta d'Albaida	1900	993
46044 Ayora	1991	5.402
46044 Ayora	1981	6.083
46044 Ayora	1970	5.691
46044 Ayora	1960	6.412
46044 Ayora	1950	6.870
46044 Ayora	1940	6.634
46044 Ayora	1930	6.552
46044 Ayora	1920	6.638
46044 Ayora	1910	6.460
46044 Ayora	1900	4.980
46046 Barx	1991	996
46046 Barx	1981	967
46046 Barx	1970	880
46046 Barx	1960	990
46046 Barx	1950	976
46046 Barx	1940	969
46046 Barx	1930	838
46046 Barx	1920	728
46046 Barx	1910	646
46046 Barx	1900	489
46045 Barxeta	1991	1.593
46045 Barxeta	1981	1.513
46045 Barxeta	1970	1.446
46045 Barxeta	1960	1.507
46045 Barxeta	1950	1.508
46045 Barxeta	1940	1.373
46045 Barxeta	1930	1.500
46045 Barxeta	1920	1.272
46045 Barxeta	1910	1.224
46045 Barxeta	1900	1.121
46047 Bèlgida	1991	663
46047 Bèlgida	1981	681
46047 Bèlgida	1970	737
46047 Bèlgida	1960	772
46047 Bèlgida	1950	818
46047 Bèlgida	1940	779
46047 Bèlgida	1930	839
46047 Bèlgida	1920	968
46047 Bèlgida	1910	953
46047 Bèlgida	1900	1.053
46048 Bellreguard	1991	3.666
46048 Bellreguard	1981	3.740
46048 Bellreguard	1970	3.545
46048 Bellreguard	1960	3.259
46048 Bellreguard	1950	3.128
46048 Bellreguard	1940	2.931
46048 Bellreguard	1930	2.880
46048 Bellreguard	1920	2.251
46048 Bellreguard	1910	2.484
46048 Bellreguard	1900	2.476
46049 Bellús	1991	413
46049 Bellús	1981	407
46049 Bellús	1970	421
46049 Bellús	1960	422
46049 Bellús	1950	385
46049 Bellús	1940	359
46049 Bellús	1930	377
46049 Bellús	1920	368
46049 Bellús	1910	350
46049 Bellús	1900	325
46050 Benagéber	1991	109
46050 Benagéber	1981	135
46050 Benagéber	1970	426
46050 Benagéber	1960	517
46050 Benagéber	1950	1.401
46050 Benagéber	1940	746
46050 Benagéber	1930	564
46050 Benagéber	1920	685
46050 Benagéber	1910	656
46050 Benagéber	1900	636
46051 Benaguasil	1991	8.744
46051 Benaguasil	1981	8.534
46051 Benaguasil	1970	8.170
46051 Benaguasil	1960	7.690
46051 Benaguasil	1950	8.015
46051 Benaguasil	1940	7.885
46051 Benaguasil	1930	6.623
46051 Benaguasil	1920	6.433
46051 Benaguasil	1910	6.114
46051 Benaguasil	1900	5.807
46052 Benavites	1991	657
46052 Benavites	1981	666
46052 Benavites	1970	669
46052 Benavites	1960	596
46052 Benavites	1950	573
46052 Benavites	1940	572
46052 Benavites	1930	576
46052 Benavites	1920	558
46052 Benavites	1910	512
46052 Benavites	1900	455
46053 Beneixida	1991	378
46053 Beneixida	1981	600
46053 Beneixida	1970	651
46053 Beneixida	1960	585
46053 Beneixida	1950	612
46053 Beneixida	1940	589
46053 Beneixida	1930	547
46053 Beneixida	1920	498
46053 Beneixida	1910	501
46053 Beneixida	1900	476
46054 Benetússer	1991	13.891
46054 Benetússer	1981	13.488
46054 Benetússer	1970	10.062
46054 Benetússer	1960	5.907
46054 Benetússer	1950	3.954
46054 Benetússer	1940	3.436
46054 Benetússer	1930	2.517
46054 Benetússer	1920	1.421
46054 Benetússer	1910	1.216
46054 Benetússer	1900	996
46055 Beniarjó	1991	1.105
46055 Beniarjó	1981	1.291
46055 Beniarjó	1970	1.524
46055 Beniarjó	1960	1.633
46055 Beniarjó	1950	1.363
46055 Beniarjó	1940	1.451
46055 Beniarjó	1930	1.322
46055 Beniarjó	1920	1.229
46055 Beniarjó	1910	969
46055 Beniarjó	1900	984
46056 Beniatjar	1991	251
46056 Beniatjar	1981	279
46056 Beniatjar	1970	312
46056 Beniatjar	1960	354
46056 Beniatjar	1950	421
46056 Beniatjar	1940	410
46056 Beniatjar	1930	418
46056 Beniatjar	1920	450
46056 Beniatjar	1910	519
46056 Beniatjar	1900	560
46057 Benicolet	1991	477
46057 Benicolet	1981	479
46057 Benicolet	1970	522
46057 Benicolet	1960	542
46057 Benicolet	1950	553
46057 Benicolet	1940	558
46057 Benicolet	1930	546
46057 Benicolet	1920	579
46057 Benicolet	1910	522
46057 Benicolet	1900	592
46060 Benifaió	1991	11.850
46060 Benifaió	1981	11.849
46060 Benifaió	1970	10.183
46060 Benifaió	1960	8.095
46060 Benifaió	1950	7.629
46060 Benifaió	1940	7.213
46060 Benifaió	1930	6.551
46060 Benifaió	1920	6.918
46060 Benifaió	1910	5.031
46060 Benifaió	1900	4.267
46059 Benifairó de la Valldigna	1991	1.666
46059 Benifairó de la Valldigna	1981	1.567
46059 Benifairó de la Valldigna	1970	1.641
46059 Benifairó de la Valldigna	1960	1.529
46059 Benifairó de la Valldigna	1950	1.567
46059 Benifairó de la Valldigna	1940	1.509
46059 Benifairó de la Valldigna	1930	1.403
46059 Benifairó de la Valldigna	1920	1.373
46059 Benifairó de la Valldigna	1910	1.451
